PL ID,Status,Category,Discipline,Description,Subsystem,Milestone
PL-009773,Originated,B,P,10:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping,PS5-60-74 - Engine E Cooling system,PS5 - Milestone D
PL-009774,Originated,C,M,10.1:Touch up / painting to be completed wherever required on the equipment,PS5-60-74 - Engine E Cooling system,PS5 - Milestone D
PL-009775,Originated,B,P,10:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping),PS5-60-74 - Engine E Cooling system,PS5 - Milestone D
PL-009776,Originated,C,M,10.1:Touch up / painting to be completed wherever required on the equipment,PS5-60-74 - Engine E Cooling system,PS5 - Milestone D
PL-009777,Originated,B,P,10:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping),PS5-60-75 - Engine F Cooling system,PS5 - Milestone D
PL-009778,Originated,C,M,10.1:Touch up / painting to be completed wherever required on the equipment,PS5-60-75 - Engine F Cooling system,PS5 - Milestone D
PL-009779,Originated,B,P,10:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping),PS5-60-75 - Engine F Cooling system,PS5 - Milestone D
PL-009781,Originated,C,M,10.1:Touch up / painting to be completed wherever required on the equipment,PS5-60-75 - Engine F Cooling system,PS5 - Milestone D
PL-009782,Originated,B,P,10:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping),PS5-60-76 - Engine G Cooling system,PS5 - Milestone E
PL-009783,Originated,C,M,10.1:Touch up / painting to be completed wherever required on the equipment,PS5-60-76 - Engine G Cooling system,PS5 - Milestone E
PL-009784,Originated,B,P,10:FINAL PIPING CONNECTION AND REINSTATEMENT TO BE COMPLETED AFTER HT(descipiline-piping),PS5-60-76 - Engine G Cooling system,PS5 - Milestone E
PL-009785,Originated,C,M,10.1:Touch up / painting to be completed wherever required on the equipment,PS5-60-76 - Engine G Cooling system,PS5 - Milestone E
PL-009799,Closed,B,I,17. cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-009800,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-009801,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-009802,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-009803,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-009804,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-009805,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-03-01 - FZ-01 - Process Area,PS6 - Milestone C
PL-009806,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-03-01 - FZ-01 - Process Area,PS6 - Milestone C
PL-009807,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-03-01 - FZ-01 - Process Area,PS6 - Milestone C
PL-009828,Originated,B,M,17:Alignment to be verified while installing suction and discharge line valves.,PS5-25-02 - Crude Oil Export Pump A,PS5 - Milestone H
PL-009846,Originated,B,M,17:Alignment to be verified while installing suction and discharge line valves,PS5-25-03 - Crude Oil Export Pump B,PS5 - Milestone H
PL-009847,Originated,B,M,17:Alignment to be verified while installing suction and discharge line valves,PS5-25-04 - Crude Oil Export Pump C,PS5 - Milestone H
PL-010025,Originated,B,E,Junction Box TAG is missing,PS5-62-09 - Outdoor Normal Lighting DB  - PS5-61-IG-0007,PS5 - Milestone G
PL-010028,Originated,B,E,Junction Box TAG is missing,PS5-62-09 - Outdoor Normal Lighting DB  - PS5-61-IG-0007,PS5 - Milestone G
PL-010066,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010067,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010068,Originated,B,I,17:cable labelling is in accordance with specification to be done,PS6-25-05 - Crude Oil Export Pumps Bypass,PS6 - Milestone E
PL-010069,Originated,B,I,17:cable labelling is in accordance with specification to be done,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010070,Originated,B,I,13:enclosure is correctly earthed in accordance with project data to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010071,Originated,B,I,13:enclosure is correctly earthed in accordance with project data to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010072,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010073,Originated,B,I,13:enclosure is correctly earthed in accordance with project data to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010074,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010075,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010076,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010077,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010078,Originated,B,I,17:cable labelling is in accordance with specification to be done,PS6-25-07 - Export Pipeline Pig Launcher,PS6 - Milestone E
PL-010079,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010080,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010081,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010082,Originated,B,I,17:cable labelling is in accordance with specification to be done,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010083,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-03-01 - FZ-01 - Process Area,PS6 - Milestone C
PL-010084,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-91-01 - Multicore cables & JB,PS6 - Milestone B
PL-010085,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-03-01 - FZ-01 - Process Area,PS6 - Milestone C
PL-010086,Originated,B,I,17:cable labelling is in accordance with specification to be done.,PS6-03-01 - FZ-01 - Process Area,PS6 - Milestone C
